icao24,registration,model,operatorIcao
896115,A6-ECN,Boeing 777 36NER,UAE
896116,A6-ECO,Boeing 777-36N(ER),UAE
896117,A6-ECP,Boeing 777 36NER,UAE
896118,A6-ECQ,777 31HER,UAE
896119,A6-ECR,Boeing 777-31H(ER),UAE
89611a,A6-ECS,777 31HER,UAE
89611b,A6-ECT,777 31HER,UAE
89611c,A6-ECU,Boeing 777-31H(ER),UAE
89611d,A6-ECV,Boeing 777-31H(ER),UAE
89611e,A6-ECW,Boeing 777-31H(ER),UAE
89611f,A6-ECX,777 31HER,UAE
896120,A6-ECY,777 31HER,UAE
896121,A6-ECZ,777 31HER,UAE
89612b,A6-ETA,777 3FXER,ETD
89612c,A6-ETB,777 3FXER,ETD
89612d,A6-ETC,Boeing 777 3FXER,ETD
89612e,A6-ETD,777 3FXER,ETD
89612f,A6-ETE,777 3FXER,ETD
896133,A6-EYE,A330 243,ETD
89613b,A6-EYF,Airbus A330 243,ETD
89613c,A6-EYG,A330 243,ETD
89613d,A6-EYH,A330 243,ETD
89613e,A6-EYI,A330 243,ETD
896143,A6-EYJ,A330 243,ETD
896145,A6-EHB,Airbus A340 541,ETD
896146,A6-EHC,Airbus A340 541,ETD
896147,A6-EHD,Airbus A340 541,ETD
896160,A6-EYL,A330 243,ETD
896168,A6-EWH,777 21HLR,UAE
896169,A6-EWI,777 21HLR,UAE
89616a,A6-EWJ,777 21HLR,UAE
89616b,A6-EFE,Boeing 777 F1H,UAE
89616c,A6-EFF,Boeing 777 F1H,UAE
89616d,A6-EFG,777 F1H,UAE
89616e,A6-EFH,777 F1H,UAE
89616f,A6-EFI,777 F1H,UAE
896170,A6-EFJ,777 F1H,UAE
896171,A6-EFK,Boeing 777 F1H,UAE
896172,A6-EFL,777 F1H,UAE
896173,A6-EWA,777 21HLR,UAE
